iter	Passed	Remaining
0	0	37
1	0	36
2	1	34
3	1	32
4	1	32
5	2	32
6	2	32
7	2	31
8	3	31
9	3	31
10	3	30
11	4	30
12	4	29
13	4	29
14	5	28
15	5	28
16	5	27
17	6	27
18	6	27
19	6	26
20	7	26
21	7	26
22	7	26
23	8	25
24	8	25
25	8	24
26	9	24
27	9	24
28	9	23
29	10	23
30	10	22
31	10	22
32	11	22
33	11	21
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	15	15
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	20	11
64	20	10
65	20	10
66	21	10
67	21	10
68	21	9
69	21	9
70	22	9
71	22	8
72	22	8
73	23	8
74	23	7
75	23	7
76	23	7
77	24	6
78	24	6
79	24	6
80	25	5
81	25	5
82	25	5
83	26	4
84	26	4
85	26	4
86	27	4
87	27	3
88	27	3
89	27	3
90	28	2
91	28	2
92	28	2
93	29	1
94	29	1
95	29	1
96	29	0
97	30	0
98	30	0
99	30	0
